# Adjusted gross income floor on percentiles (constant dollars)
"Tax Year","Total","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent","Top 50 percent"
1986,NA,NA,"108,411","56,913","44,394","29,418","15,786"
1987,NA,NA,"122,614","60,224","46,585","29,915","15,641"
1988,NA,NA,"132,828","61,484","46,861","29,922","15,526"
1989,NA,NA,"132,152","62,043","46,986","29,709","15,317"
1990,NA,NA,"128,096","60,493","46,126","29,135","15,124"
1991,NA,NA,"124,919","60,000","45,480","28,582","14,756"
1992,NA,NA,"129,654","60,658","45,942","28,780","14,828"
1993,NA,NA,"128,522","60,475","45,728","28,519","14,657"
1994,NA,NA,"132,069","61,556","46,392","28,841","14,711"
1995,NA,NA,"137,406","63,137","47,306","29,007","14,661"
1996,NA,NA,"145,026","64,462","47,792","29,163","14,769"
1997,NA,NA,"156,222","67,320","49,353","30,014","15,198"
1998,NA,NA,"164,427","69,999","50,775","30,877","15,553"
1999,NA,NA,"176,119","72,537","52,630","31,792","15,855"
2000,NA,NA,"182,038","74,527","53,510","32,070","16,075"
2001,NA,"747,875","165,394","72,221","52,374","31,669","16,108"
2002,NA,"662,409","158,657","70,331","51,508","31,351","15,928"
2003,NA,"686,283","160,595","70,696","51,571","31,165","15,771"
2004,NA,"819,979","173,663","72,555","52,468","31,785","15,946"
2005,NA,"946,642","186,716","74,390","53,206","31,781","15,812"
2006,NA,"1,014,231","192,860","76,162","54,020","32,094","15,867"
2007,NA,"1,039,732","197,827","77,203","54,519","32,095","15,861"
2008,NA,"837,708","176,662","74,138","52,856","31,249","15,350"
2009,NA,"667,899","160,311","72,082","52,263","30,854","15,100"
