# Adjusted gross income share (percentage)
"Tax Year","Total","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent","Top 50 percent"
1986,100.00,NA,11.30,24.11,35.12,59.04,83.34
1987,100.00,NA,12.32,25.67,36.90,60.75,84.37
1988,100.00,NA,15.16,28.51,39.45,62.44,85.07
1989,100.00,NA,14.19,27.84,39.00,62.28,85.04
1990,100.00,NA,14.00,27.62,38.77,62.13,84.97
1991,100.00,NA,12.99,26.83,38.20,61.85,84.87
1992,100.00,NA,14.23,28.01,39.23,62.47,85.08
1993,100.00,NA,13.79,27.76,39.05,62.45,85.08
1994,100.00,NA,13.80,27.85,39.19,62.64,85.11
1995,100.00,NA,14.60,28.81,40.16,63.37,85.46
1996,100.00,NA,16.04,30.36,41.59,64.32,85.92
1997,100.00,NA,17.38,31.79,42.83,65.05,86.16
1998,100.00,NA,18.47,32.85,43.77,65.63,86.33
1999,100.00,NA,19.51,34.04,44.89,66.46,86.75
2000,100.00,NA,20.81,35.30,46.01,67.15,87.01
2001,100.00,8.10,17.53,31.99,43.11,65.23,86.19
2002,100.00,7.06,16.12,30.55,41.77,64.37,85.77
2003,100.00,7.57,16.77,31.18,42.36,64.86,86.01
2004,100.00,9.14,19.00,33.45,44.35,66.13,86.58
2005,100.00,10.65,21.20,35.75,46.44,67.52,87.17
2006,100.00,11.22,22.06,36.66,47.32,68.16,87.49
2007,100.00,11.93,22.83,37.44,48.05,68.71,87.74
2008,100.00,9.96,20.00,34.73,45.77,67.38,87.25
2009,100.00,7.80,16.93,31.72,43.19,65.81,86.52
