# Average tax rate (percentage)
"Tax Year","Total","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent","Top 50 percent"
1986,14.54,NA,33.13,25.68,22.64,18.72,16.32
1987,13.12,NA,26.41,22.10,19.77,16.61,14.60
1988,13.21,NA,24.04,21.14,19.18,16.47,14.64
1989,13.12,NA,23.34,20.71,18.77,16.27,14.53
1990,12.95,NA,23.25,20.46,18.50,16.06,14.36
1991,12.75,NA,24.37,20.62,18.63,15.93,14.20
1992,12.94,NA,25.05,21.19,19.13,16.25,14.44
1993,13.32,NA,28.01,22.71,20.20,16.90,14.90
1994,13.50,NA,28.23,23.04,20.48,17.15,15.11
1995,13.86,NA,28.73,23.53,20.97,17.58,15.47
1996,14.34,NA,28.87,24.07,21.55,18.12,15.96
1997,14.48,NA,27.64,23.62,21.36,18.18,16.09
1998,14.42,NA,27.12,23.63,21.42,18.16,16.00
1999,14.85,NA,27.53,24.18,21.98,18.66,16.43
2000,15.26,NA,27.45,24.42,22.34,19.09,16.86
2001,14.23,28.20,27.50,23.68,21.41,18.08,15.85
2002,13.03,28.49,27.25,22.95,20.51,16.99,14.66
2003,11.90,24.64,24.31,20.74,18.49,15.38,13.35
2004,12.10,23.09,23.49,20.67,18.60,15.53,13.51
2005,12.45,22.52,23.13,20.78,18.84,15.86,13.84
2006,12.60,21.98,22.79,20.68,18.86,15.95,13.98
2007,12.68,21.46,22.45,20.53,18.79,15.98,14.03
2008,12.24,22.70,23.27,20.70,18.71,15.68,13.65
2009,11.06,24.28,24.01,20.46,18.05,14.68,12.50
