# Total income tax share (percentage)
"Tax Year","Total","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent","Top 50 percent"
1986,100.00,NA,25.75,42.57,54.69,76.02,93.54
1987,100.00,NA,24.81,43.26,55.61,76.92,93.93
1988,100.00,NA,27.58,45.62,57.28,77.84,94.28
1989,100.00,NA,25.24,43.94,55.78,77.22,94.17
1990,100.00,NA,25.13,43.64,55.36,77.02,94.19
1991,100.00,NA,24.82,43.38,55.82,77.29,94.52
1992,100.00,NA,27.54,45.88,58.01,78.48,94.94
1993,100.00,NA,29.01,47.36,59.24,79.27,95.19
1994,100.00,NA,28.86,47.52,59.45,79.55,95.23
1995,100.00,NA,30.26,48.91,60.75,80.36,95.39
1996,100.00,NA,32.31,50.97,62.51,81.32,95.68
1997,100.00,NA,33.17,51.87,63.20,81.67,95.72
1998,100.00,NA,34.75,53.84,65.04,82.69,95.79
1999,100.00,NA,36.18,55.45,66.45,83.54,96.00
2000,100.00,NA,37.42,56.47,67.33,84.01,96.09
2001,100.00,16.06,33.89,53.25,64.89,82.90,96.03
2002,100.00,15.43,33.71,53.80,65.73,83.90,96.50
2003,100.00,15.68,34.27,54.36,65.84,83.88,96.54
2004,100.00,17.44,36.89,57.13,68.19,84.86,96.70
2005,100.00,19.26,39.38,59.67,70.30,85.99,96.93
2006,100.00,19.56,39.89,60.14,70.79,86.27,97.01
2007,100.00,20.19,40.42,60.63,71.22,86.59,97.11
2008,100.00,18.47,38.02,58.72,69.94,86.34,97.30
2009,100.00,17.11,36.73,58.66,70.47,87.30,97.75
